nombre,precio,descripcion,categoria,sku,stock
Twin Stones Molino Basculante,1299.99,Refinador basculante para chocolateros y pasteleros capaz de refinar chocolate y pastas a menos de 20 micras,Equipamiento Profesional,30-0053,5
Twin Stones V2 Mejorado,1499.99,Versión mejorada con piedras extraíbles y tracción con engranaje dentados,Equipamiento Profesional,30-0053-V2,3
Molino Chocolate Artesanal,899.99,Molino compacto para chocolateros artesanales con refinamiento hasta 25 micras,Equipamiento Artesanal,CHOC-ART-001,8
Refinadora Pasta Premium,1899.99,Refinadora profesional para pastas cremas y giandujas con refinamiento menor a 15 micras,Equipamiento Profesional,REF-PREMIUM-001,2
Molino Mostaza Industrial,799.99,Molino especializado para mostazas y condimentos con refinamiento fino,Equipamiento Industrial,MOST-INDUST-001,6
Conchadora Bean-to-Bar,2199.99,Conchadora profesional para elaboración completa de chocolate desde el grano,Equipamiento Profesional,CONCH-BTB-001,1
Molino Manteca Cacao,1599.99,Molino especializado para manteca de cacao y mantequillas con refinamiento ultra fino,Equipamiento Especializado,MANT-CACAO-001,4
Refinadora Pralinés,1299.99,Refinadora específica para pralinés y cremas de frutos secos,Equipamiento Pastelería,PRALIN-001,7
Molino Gianduja,1699.99,Molino especializado para gianduja y cremas de avellana con refinamiento fino,Equipamiento Especializado,GIANDUJA-001,3
Conchadora Compacta,999.99,Conchadora compacta para espacios reducidos con refinamiento menor a 25 micras,Equipamiento Compacto,CONCH-COMP-001,9
